calls_per_hour,avg_call_duration,contact_degree,spam_report_count,is_spam
3.83,163.78,11,1,0
1.75,77.09,6,0,0
1.01,280.0,7,1,0
3.91,198.86,6,0,0
3.48,124.06,6,0,0
3.03,210.32,1,0,0
3.07,142.15,10,0,0
4.13,131.05,5,0,0
0.65,138.37,6,0,0
2.11,169.52,9,0,0
3.9,149.15,6,1,0
1.22,161.83,3,0,0
5.73,180.9,1,0,0
1.8,181.38,8,0,0
2.93,190.09,3,0,0
54.02,5.53,0,10,1
4.75,279.94,8,1,0
1.07,133.46,7,0,0
0.54,175.04,4,0,0
4.41,226.92,3,1,0
1.46,144.94,9,0,0
4.45,115.95,4,0,0
0.83,164.73,3,0,0
7.68,260.95,6,0,0
66.26,11.48,0,22,1
2.13,186.54,4,0,0
41.98,10.02,0,10,1
0.7,124.56,6,0,0
39.34,1.89,0,12,1
6.08,179.86,6,0,0
3.73,232.94,6,0,0
4.07,251.83,6,0,0
87.28,13.71,0,7,1
123.55,7.34,0,14,1
4.82,163.97,6,0,0
1.56,187.29,5,0,0
58.76,19.84,0,8,1
61.24,4.9,0,21,1
42.08,4.37,0,23,1
2.28,175.27,5,0,0
69.03,1.66,0,13,1
85.14,9.26,0,12,1
5.66,247.49,10,0,0
2.86,102.86,9,0,0
1.14,150.98,6,0,0
42.77,12.72,0,7,1
80.42,3.96,0,9,1
74.04,1.36,0,7,1
3.85,203.55,6,0,0
2.55,233.51,8,0,0
39.03,1.34,0,33,1
84.12,1.5,0,10,1
4.05,110.12,10,0,0
2.77,118.4,7,0,0
1.19,45.26,10,0,0
3.06,177.9,9,0,0
1.97,197.64,9,0,0
2.72,253.64,2,0,0
6.55,169.66,9,0,0
9.93,121.4,9,0,0
1.97,127.55,7,1,0
33.19,1.74,0,12,1
75.23,7.19,0,6,1
31.59,4.56,0,25,1
3.4,165.88,7,0,0
3.52,87.3,5,0,0
3.72,118.36,5,0,0
4.44,250.73,5,1,0
55.39,8.15,0,9,1
46.23,8.33,0,18,1
2.18,122.11,1,0,0
4.93,102.94,7,0,0
4.08,264.12,7,0,0
3.1,144.54,6,0,0
2.84,263.73,6,0,0
3.67,175.46,8,0,0
4.24,88.66,3,0,0
1.34,196.43,6,0,0
1.81,71.11,5,1,0
34.54,22.53,0,15,1
3.4,271.11,4,0,0
2.64,165.02,10,0,0
45.93,7.63,0,40,1
8.56,228.33,7,0,0
2.96,219.62,4,0,0
1.27,131.41,6,0,0
2.04,77.04,5,0,0
1.69,305.47,5,0,0
85.59,1.57,0,16,1
46.86,2.06,0,15,1
34.12,8.44,0,5,1
2.13,123.06,4,0,0
1.49,259.26,5,0,0
4.83,209.52,7,0,0
2.67,153.85,4,0,0
63.26,10.51,0,23,1
5.74,119.94,6,0,0
6.77,86.1,2,0,0
8.56,110.22,6,0,0
3.14,174.1,2,0,0
2.07,208.52,7,0,0
2.82,149.78,5,0,0
1.41,113.71,6,0,0
48.34,1.19,0,14,1
5.15,274.34,4,0,0
6.7,162.73,5,0,0
3.34,261.56,3,0,0
1.11,150.96,5,0,0
95.31,10.45,0,20,1
2.08,224.98,7,0,0
4.03,192.6,10,0,0
2.01,111.95,1,0,0
57.6,1.24,0,16,1
2.0,223.91,6,0,0
0.55,109.55,7,0,0
67.32,9.91,1,23,1
3.81,223.93,8,0,0
4.01,229.83,5,1,0
4.13,308.58,3,0,0
2.83,229.87,6,0,0
4.05,140.58,4,0,0
3.01,229.99,7,0,0
57.52,1.27,0,31,1
2.14,207.6,5,0,0
1.42,193.12,8,0,0
24.46,30.57,0,23,1
2.13,211.62,6,1,0
39.09,9.14,0,14,1
3.13,193.93,4,0,0
2.3,95.46,1,0,0
50.67,16.74,0,12,1
2.42,173.76,2,0,0
5.71,227.89,4,0,0
10.94,177.13,7,0,0
32.76,7.65,0,13,1
111.68,3.23,0,11,1
31.16,8.54,1,12,1
44.54,8.7,0,10,1
2.25,130.52,10,0,0
3.23,232.94,7,1,0
122.66,2.25,0,11,1
59.61,2.45,0,23,1
38.3,8.47,1,13,1
49.14,1.95,0,13,1
39.47,3.04,0,20,1
6.21,157.44,3,0,0
4.37,229.81,6,0,0
119.4,8.94,0,18,1
1.44,155.19,6,0,0
1.95,87.74,6,0,0
9.62,199.02,1,0,0
64.22,2.66,0,22,1
77.49,11.89,0,18,1
117.82,16.24,0,16,1
0.95,175.75,6,0,0
3.5,124.45,4,0,0
2.81,150.51,4,0,0
2.61,152.51,5,1,0
57.95,18.51,1,12,1
2.78,242.23,5,0,0
1.16,189.46,3,0,0
2.39,181.9,7,0,0
6.33,216.22,15,0,0
1.23,143.66,5,0,0
9.77,160.05,10,0,0
53.78,7.75,0,21,1
1.74,165.06,6,0,0
2.45,104.61,7,0,0
1.99,123.92,10,1,0
3.71,195.42,6,0,0
5.74,150.92,4,0,0
8.96,200.78,9,0,0
5.38,197.71,10,0,0
3.93,177.01,4,0,0
2.27,128.16,8,1,0
